ProductID,ProductName,Size,Colour,Stock,Price,Cost
1,DARKNESS RASHGUARD,M,Black,48,55.94,16.95
2,DARKNESS RASHGUARD,XS,Black,49,55.94,16.95
3,DARKNESS RASHGUARD,S,Black,50,55.94,16.95
4,DARKNESS RASHGUARD,L,Black,48,55.94,16.95
5,LIGHTNING NECKLACE,Noir,Black,48,19.6,3.37
6,LIGHTNING NECKLACE,Or,Gold,50,19.6,3.37
7,LIGHTNING NECKLACE,Argent,Silver,52,19.6,3.37
8,LIGHTNING RASHGUARD,XS,Purple,55,55.94,16.95
9,LIGHTNING RASHGUARD,S,Purple,57,55.94,16.95
10,LIGHTNING RASHGUARD,M,Purple,48,55.94,16.95
11,LIGHTNING RASHGUARD,L,Purple,48,55.94,16.95
12,Oversize T-shirt SWO,L,Black,63,207.2,14.07
13,Oversize T-shirt SWO,M,Black,69,39.14,14.07
14,Oversize T-shirt SWO,S,Black,70,39.14,14.07
15,Oversize T-shirt SWO,L,White,57,39.14,14.07
16,Oversize T-shirt SWO,M,White,65,39.14,14.07
17,Oversize T-shirt SWO,S,White,63,39.14,14.07
18,PREMIUM ELASTIC BANDS,PACK 3 ÉLASTIQUES,-,138,50.39,4.28
19,PREMIUM ELASTIC BANDS,STRONG (15-30KG),Black,138,20.16,4.28
20,PREMIUM ELASTIC BANDS,"MEDIUM (7,5-20KG)",Pink,137,19.04,4.28
21,PREMIUM ELASTIC BANDS,LIGHT (5-10KG),White,137,16.8,4.28
22,SWO CARGO PANTS,44,Black,48,72.8,38.58
23,SWO CARGO PANTS,42,Black,57,72.8,38.58
24,SWO CARGO PANTS,40,Black,60,72.8,38.58
25,SWO CARGO PANTS,38,Black,48,72.8,38.58
26,SWO Caps,-,Black,54,33.54,14.99
27,SWO Caps,-,Blue,52,33.54,14.99
28,SWO Caps,-,Red,57,33.54,14.99
29,SWO Carrying bag,Noir,Black,74,11.14,3.18
30,SWO Carrying bag,Blanc,White,85,11.14,3.18
31,SWO Flip-flops,Noir,Black,57,22.34,9.41
32,SWO Flip-flops,Blanc,White,62,22.34,9.41
33,SWO isotherme bottle,Noir,Black,58,16.74,6.51
34,SWO isotherme bottle,Gris,Gray,59,16.74,6.51
35,SWO training shorts,L (42-44),Black,58,44.74,8.8
36,SWO training shorts,M (40-42),Black,63,44.74,8.8
37,SWO training shorts,S (38-40),Black,65,44.74,8.8
38,SWO training shorts,XS (36-38),Black,56,44.74,8.8
39,SWO training shorts,M (40-42),White,63,44.74,8.8
40,SWO training shorts,L (42-44),White,58,44.74,8.8
41,SWO training shorts,XS (36-38),White,56,44.74,8.8
42,SWO training shorts,S (38-40),White,65,44.74,8.8
43,SWOCKETS CLASSICS Blanc et noir,L,-,98,22.34,3.14
44,SWOCKETS CLASSICS Blanc et noir,XL,-,98,22.34,3.14
45,SWOCKETS CLASSICS Noir et Violet,L,-,98,22.34,3.14
46,SWOCKETS CLASSICS Noir et Violet,XL,-,98,22.34,3.14
47,SWOCKETS CLASSICS Violet et noir,L,-,98,22.34,3.14
48,SWOCKETS CLASSICS Violet et noir,XL,-,98,22.34,3.14
49,SWOCKETS DARKNESS,L,Black,639,22.34,2.24
50,SWOCKETS DARKNESS,XL,Black,602,22.34,2.24
51,SWOCKETS LIGHTNING,L,White,837,22.34,2.24
52,SWOCKETS LIGHTNING,XL,White,834,22.34,2.24
53,SWOCKETS PASTEL Chocolat,L,-,98,22.34,3.14
54,SWOCKETS PASTEL Chocolat,XL,-,98,22.34,3.14
55,SWOCKETS PASTEL Gris,L,-,98,22.34,3.14
56,SWOCKETS PASTEL Gris,XL,-,98,22.34,3.14
57,SWOCKETS PASTEL Vanille,L,-,98,22.34,3.14
58,SWOCKETS PASTEL Vanille,XL,-,98,22.34,3.14
59,WRIST - ELBOW SLEEVES,Elbows: 9x13cm,Black,48,22.4,5.1
60,WRIST - ELBOW SLEEVES,Wrists: 7*10cm,Black,73,22.4,5.24
61,Wristband,-,Black,183,4.42,0.45
62,Wristband,-,Purple,183,4.42,0.45
63,Wristband,-,White,183,4.42,0.45
64,short de training,Noir,Black,48,44.74,27.41
